6-Apr,,,,,,,,
,,,,,,,,
Date,Max,Min,Liquid,Snow,Depth,,,
1,76,48,0.23,0,0,,,
2,72,48,T,0,0,,,
3,62,50,0.22,0,0,,,
4,59,38,0.08,0,0,,,
5,50,40,T,0,0,,,
6,62,48,0,0,0,,,
7,69,48,0.36,0,0,,,
8,50,36,0.56,0,0,,,
9,52,42,0,0,0,,,
10,70,42,0,0,0,,,
11,75,52,0,0,0,,,
12,76,58,0,0,0,,,
13,81,58,0,0,0,,,
14,72,58,0.01,0,0,,,
15,84,54,0,0,0,,,
16,74,50,0,0,0,,,
17,70,50,0,0,0,,,
18,76,52,0,0,0,,,
19,81,60,0,0,0,,,
20,89,56,0,0,0,,,
21,68,48,0.62,0,0,,,
22,62,50,1.95,0,0,,,
23,70,52,0.11,0,0,,,
24,72,52,0.04,0,0,,,
25,78,42,0.07,0,0,,,
26,72,48,0,0,0,,,
27,78,52,0,0,0,,,
28,69,49,0,0,0,,,
29,68,42,0,0,0,,,
30,70,52,0,0,0,,,
31,,,,,,,,
,,,,,,,,
#days,30,,,,,,,
Sum,2107,1475,4.25,0,0,,,
Avg,70.23,49.17,,,,,,
Avg Month,59.7,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6-May,,,,,,,,
,,,,,,,,
Date,Max,Min,Liquid,Snow,Depth,,,
1,72,48,0,0,0,,,
2,80,48,0,0,0,,,
3,78,58,0,0,0,,,
4,86,51,0,0,0,,,
5,86,64,0,0,0,,,
6,82,48,0,0,0,,,
7,72,52,T,0,0,,,
8,66,54,0,0,0,,,
9,76,56,0,0,0,,,
10,82,58,0,0,0,,,
11,76,58,0.87,0,0,,,
12,74,51,0,0,0,,,
13,78,52,0.1,0,0,,,
14,68,50,0.7,0,0,,,
15,74,54,9.6,0,0,,,
16,72,54,0.2,0,0,,,
17,74,58,0,0,0,,,
18,78,56,0.18,0,0,,,
19,70,56,T,0,0,,,
20,76,52,0,0,0,,,
21,76,58,T,0,0,,,
22,70,48,0,0,0,,,
23,74,52,0,0,0,,,
24,78,62,0,0,0,,,
25,78,56,0,0,0,,,
26,84,62,0.14,0,0,,,
27,87,54,0,0,0,,,
28,92,78,0,0,0,,,
29,98,68,0,0,0,,,
30,86,78,0,0,0,,,
31,92,70,0,0,0,,,
,,,,,,,,
#days,31,,,,,,,
Sum,2435,1764,11.79,0,0,,,
Avg,78.5,56.9,,,,,,
Avg Month,67.7,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6-Jun,,,,,,,,
,,,,,,,,
Date,Max,Min,Liquid,Snow,Depth,,,
1,96,70,0.59,0,0,,,
2,85,52,3.21,0,0,,,
3,77,60,2.7,0,0,,,
4,78,60,0,0,0,,,
5,76,60,0,0,0,,,
6,80,60,0,0,0,,,
7,76,60,0.41,0,0,,,
8,80,58,0.21,0,0,,,
9,82,60,0.19,0,0,,,
10,74,55,0,0,0,,,
11,79,54,0,0,0,,,
12,76,60,0,0,0,,,
13,88,68,0,0,0,,,
14,83,62,0.8,0,0,,,
15,84,65,0,0,0,,,
16,90,69,0,0,0,,,
17,90,70,0,0,0,,,
18,96,74,0,0,0,,,
19,92,72,0,0,0,,,
20,91,70,0,0,0,,,
21,92,76,0,0,0,,,
22,95,73,0.11,0,0,,,
23,95,76,0.13,0,0,,,
24,88,72,0.8,0,0,,,
25,82,72,0,0,0,,,
26,82,74,4.2,0,0,,,
27,83,72,3.55,0,0,,,
28,85,70,0.4,0,0,,,
29,87,72,0.27,0,0,,,
30,86,69,0.01,0,0,,,
31,,,,,,,,
,,,,,,,,
#days 30,,,,,,,,
Sum,2548,1985,17.58,0,0,,,
Avg,84.9,66.2,,,,,,
Avg Month,75.6,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6-Jul,,,,,,,,
,,,,,,,,
Date,Max,Min,Liquid,Snow,Depth,,,
1,90,72,0,0,0,,,
2,95,73,0.42,0,0,,,
3,94,78,0,0,0,,,
4,95,75,0.31,0,0,,,
5,84,67,0.74,0,0,,,
6,82,64,0.01,0,0,,,
7,88,72,0,0,0,,,
8,86,71,0,0,0,,,
9,89,71,0,0,0,,,
10,92,76,0,0,0,,,
11,98,79,0,0,0,,,
12,96,76,0.1,0,0,,,
13,96,72,0,0,0,,,
14,97,71,0,0,0,,,
15,88,74,0.11,0,0,,,
16,97,79,0,0,0,,,
17,104,81,0,0,0,,,
18,104,80,0.24,0,0,,,
19,94,75,0,0,0,,,
20,93,79,0,0,0,,,
21,95,74,0.29,0,0,,,
22,87,71,1.95,0,0,,,
23,87,68,T,0,0,,,
24,92,74,0,0,0,,,
25,89,74,0,0,0,,,
26,89,75,0,0,0,,,
27,93,74,0.65,0,0,,,
28,93,73,0.47,0,0,,,
29,92,78.5,0,0,0,,,
30,93,79.1,0,0,0,,,
31,94,80.4,0,0,0,,,
,,,,,,,,
#days,31,,,,,,,
Sum,2866,2306,5.29,0,0,,,
Avg,92.5,74.4,0.2,,,,,
Avg Month,83.4,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6-Aug,,,,,,,,
,,,,,,,,
Date,Max,Min,Liquid,Snow,Depth,,,
1,98.9,83.7,0,0,0,,,
2,97.8,82.7,0,0,0,,,
3,99,82.7,0,0,0,,,
4,89.2,72,0,0,0,,,
5,91.5,72.3,0,0,0,,,
6,91.5,75,0,0,0,,,
7,89.8,75,0,0,0,,,
8,88.6,67.7,0,0,0,,,
9,85.5,72,0,0,0,,,
10,82.9,67.6,1.42,0,0,,,
11,81.9,63.6,0,0,0,,,
12,80.6,61.2,0,0,0,,,
13,83.1,68.2,0,0,0,,,
14,87.2,74.3,0,0,0,,,
15,87.7,68.3,0,0,0,,,
16,88.8,68.3,0,0,0,,,
17,87.4,70.8,0,0,0,,,
18,86,71.5,0,0,0,,,
19,87.5,75.2,0,0,0,,,
20,90.5,68.4,0,0,0,,,
21,86.5,68.5,0,0,0,,,
22,88.1,70,0,0,0,,,
23,87.9,70,0.23,0,0,,,
24,87.4,63.5,Trace,0,0,,,
25,88.2,70.4,0.73,0,0,,,
26,73.4,68.9,0.57,0,0,,,
27,80.2,70.2,3.18,0,0,,,
28,82.6,71.6,0.01,0,0,,,
29,78.3,64,1.5,0,0,,,
30,69.8,64.4,Trace,0,0,,,
31,72.1,64.2,0,0,0,,AVG SUMMER TEMP,
,,,,,,,79.1,
#days31,,,,,,,,
Sum,2669.9,2186.2,7.64,0,0,,,
Avg,86.1,70.5,,,,,,
Avg Month,78.3,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6-Sep,,,,,,,,
,,,,,,,,
Date,Max,Min,Liquid,Snow,Depth,,,
1,67,60,1.36,0,0,,,
2,70,62,0.89,0,0,,,
3,75,63,0,0,0,,,
4,78,66,0.01,0,0,,,
5,72,62,1.38,0,0,,,
6,78,61,Trace,0,0,,,
7,83,62,0,0,0,,,
8,84,65,0,0,0,,,
9,86,66,0,0,0,,,
10,78,63,0.07,0,0,,,
11,78,56,0,0,0,,,
12,71,59,0,0,0,,,
13,71,63,0.5,0,0,,,
14,70,65,0.71,0,0,,,
15,75,66,0.06,0,0,,,
16,76,64,0.01,0,0,,,
17,82,66,0,0,0,,,
18,85,68,0,0,0,,,
19,78,60,0,0,0,,,
20,70,57,0,0,0,,,
21,69,52,0,0,0,,,
22,72,54,0,0,0,,,
23,80,67,0.09,0,0,,,
24,79,62,0.21,0,0,,,
25,72,56,0,0,0,,,
26,74,57,0,0,0,,,
27,77,62,0,0,0,,,
28,79,56,0.43,0,0,,,
29,65,55,Trace,0,0,,,
30,65,57,0.34,0,0,,,
31,,,,,,,,
#days31,,,,,,,,
Sum,2257.9,1831.5,6.06,0,0,,,
Avg,75.26,61.05,,,,,,
Avg Month,68.16,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6-Oct,,,,,,,,
,,,,,,,,
Date,Max,Min,Liquid,Snow,Depth,,,
1,73,54,0,0,0,,,
2,72,56,0,0,0,,,
3,71,58,0,0,0,,,
4,71,54,0,0,0,,,
5,83,66,0.49,0,0,,,
6,73,56,0.22,0,0,,,
7,60,49,T,0,0,,,
8,73,52,0,0,0,,,
9,79,56,0,0,0,,,
10,80,61,0,0,0,,,
11,68,60,1.43,0,0,,,
12,71,48,0,0,0,,,
13,55,41,0,0,0,,,
14,60,44,0,0,0,,,
15,59,42,0,0,0,,,
16,64,42,0,0,0,,,
17,62,54,1.35,0,0,,,
18,73,62,0,0,0,,,
19,69,60,0.69,0,0,,,
20,67,50,0.04,0,0,,,
21,59,44,0,0,0,,,
22,61,45,0,0,0,,,
23,57,46,0,0,0,,,
24,50,39,0,0,0,,,
25,53,41,0,0,0,,,
26,51,42,0,0,0,,,
27,48,38,1.49,0,0,,,
28,67,45,0.02,0,0,,,
29,56,44,0,0,0,,,
30,64,43,0,0,0,,,
31,72,50,0.02,0,0,,,
,,,,,,,,
#days31,,,,,,,,
Sum,2021,1542,5.75,0,0,,,
Avg,65.2,49.7,,,,,,
Avg Month,57.5,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6-Nov,,,,,,,,
,,,,,,,,
Date,Max,Min,Liquid,Snow,Depth,,,
1,68,55,0.3,0,0,,,
2,57,40,0,0,0,,,
3,46,33,0,0,0,,,
4,46,31,0,0,0,,,
5,51,36,0,0,0,,,
6,56,37,0,0,0,,,
7,61,43,1.81,0,0,,,
8,57,54,0.87,0,0,,,
9,68,55,0,0,0,,,
10,67,52,T,0,0,,,
11,73,49,0,0,0,,,
12,62,48,0.86,0,0,,,
13,58,50,0.46,0,0,,,
14,58,54,T,0,0,,,
15,68,54,0,0,0,,,
16,70,54,0,0,0,,,
17,61,42,0,0,0,,,
18,50,39,0,0,0,,,
19,48,40,0,0,0,,,
20,42,38,0,0,0,,,
21,43,32,0,0,0,,,
22,43,39,0.3,0,0,,,
23,46,40,0.25,0,0,,,
24,63,43,0,0,0,,,
25,57,38,0,0,0,,,
26,58,35,0,0,0,,,
27,59,38,0,0,0,,,
28,62,39,0,0,0,,,
29,62,47,0,0,0,,,
30,68,53,0,0,0,,,
31,,,,,,,,
,,,,,,,,
#days31,,,,,,,,
Sum,1728,1308,4.85,0,0,,,
Avg,57.6,43.6,,,,,,
Avg Month,50.6,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6-Dec,,,,,,,,
,,,,,,,,
Date,Max,Min,Liquid,Snow,Depth,,,
1,69,44,0.16,0,0,,,
2,44,36,0,0,0,,,
3,44,32,0,0,0,,,
4,40,30,0,0,0,,,
5,37,29,0,0,0,,,
6,49,31,0,0,0,,,
7,52,26,0,0,0,,,
8,33,22,0,0,0,,,
9,40,21,0,0,0,,,
10,55,32,0,0,0,,,
11,61,41,0,0,0,,,
12,50,43,0.06,0,0,,,
13,52,46,0.12,0,0,,,
14,51,43,T,0,0,,,
15,51,43,0,0,0,,,
16,53,43,0,0,0,,,
17,55,40,0,0,0,,,
18,67,47,0,0,0,,,
19,47,37,0,0,0,,,
20,45,34,0,0,0,,,
21,50,36,0,0,0,,,
22,54,43,1.22,0,0,,,
23,59,47,0.46,0,0,,,
24,53,42,0,0,0,,,
25,48,40,0.56,0,0,,,
26,52,43,T,0,0,,,
27,43,38,0,0,0,,,
28,50,35,0,0,0,,,
29,52,41,0,0,0,,,
30,52,41,0,0,0,,,
31,45,34,0,0,0,,,
,,,,,,,,
#days,31,,,,,,,
Sum,1553,1160,2.58,0,0,,,
Avg,50.1,37.4,,,,,,
Avg Month,43.8,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
7-Jan,,,,,,,,
,,,,,,,,
Day,Max,Min,Liquid,Snow,Depth,,,
1,57,44,1.8,0,0,,,
2,49,40,0,0,0,,,
3,52,35,0,0,0,,,
4,58,41,0.02,0,0,,,
5,62,52,0.15,0,0,,,
6,70,56,T,0,0,,,
7,57,43,0.4,0,0,,,
8,55,38,0.75,0,0,,,
9,44,34,0,0,0,,,
10,39,26,0,0,0,,,
11,48,34,0.02,0,0,,,
12,59,47,T,0,0,,,
13,54,47,0.03,0,0,,,
14,63,43,0,0,0,,,
15,63,43,0,0,0,,,
16,61,27,0,0,0,,,
17,33,20,0,0,0,,,
18,36,26,0.2,0.2,T,,,
19,41,32,0,0,0,,,
20,33,24,T,0,0,,,
21,28,20,0.1,0.5,0.5,,,
22,34,25,T,0.3,T,,,
23,37,30,T,0.2,0,,,
24,39,32,0,0,0,,,
25,35,17,T,T,0,,,
26,25,9,0,0,0,,,
27,42,24,0,0,0,,,
28,42,30,0.7,0.4,0.4,,,
29,30,22,0,0,0,,,
30,37,22,0.01,0.2,0.2,,,
31,31,22,0,0,0,,,
,,,,,,,,
#days,31,,,,,,,
Sum,1414,1005,4.18,1.8,1.1,,,
Avg,45.6,32.4,,,,,,
Avg Month,39,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, 
7-Feb,,,,,,,,
,,,,,,,,
Day,Max,Min,Liquid,Snow,Depth,,,
1,35,27,T,T,0,,,
2,40,31,0.15,0,0,,,
3,33,21,0,0,0,,,
4,30,16,0,0,0,,,
5,16,8,0,0,0,,,
6,19,8,0.02,0.5,0.5,,,
7,23,13,0,0,0,,,
8,26,14,0,0,0,,,
9,30,18,0,0,0,,,
10,31,21,0,0,0,,,
11,32,18,0,0,0,,,
12,43,27,0.01,0.5,0.5,,,
13,39,21,0.75,2.1,2.1,,,
14,34,18,0.05,0.5,2,,,
15,21,13,0,0,2,,,
16,25,13,0,0,2,,,
17,35,19,0,0,1.75,,,
18,32,20,T,T,1.5,,,
19,29,13,0,0,1,,,
20,46,29,0.1,0,0,,,
21,51,39,0,0,0,,,
22,45,35,0.09,0,0,,,
23,38,25,0,0,0,,,
24,38,19,0,0,0,,,
25,35,27,0.57,1.2,1.2,,,
26,37,32,0,0,0.5,,,
27,47,35,0,0,0,,,
28,43,35,0,0,0,,,
29,,,,,,,,
30,,,,,,,AVG WINTER TEMPERATURE,
31,,,,,,,36.9,
,,,,,,,,
#days,28,,,,,,,
Sum,953,615,1.74,4.8,15.05,,,
Avg,34,22,,,,,,
Avg Month,28,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
7-Mar,,,,,,,,
,,,,,,,,
Day,Max,Min,Liquid,Snow,Depth,,,
1,51,36,1.63,0,0,,,
2,60,40,0,0,0,,,
3,56,37,0,0,0,,,
4,39,32,0,0,0,,,
5,40,23,0,0,0,,,
6,25,15,0.03,0.2,T,,,
7,25,15,0.085,1.2,1.3,,,
8,35,18,0,0,0,,,
9,39,19,0,0,0,,,
10,61,32,0.07,0,0,,,
11,52,39,0,0,0,,,
12,55,36,0,0,0,,,
13,67,52,0,0,0,,,
14,78,52,0,0,0,,,
15,69,39,0.79,0,0,,,
16,40,25,,,,,,
17,33,26,,,,,,
18,39,26,,,,,,
19,46,30,T,0,0,,,
20,52,36,0,0,0,,,
21,49,29,T,0,0,,,
22,68,41,0.05,0,0,,,
23,64,52,0.19,0,0,,,
24,56,48,0.1,0,0,,,
25,58,41,0,0,0,,,
26,57,39,0,0,0,,,
27,82,51,0,0,0,,,
